"ITTER107","Territory","TIPO_DATO15","Biometric functions","SEXISTAT1","Gender","ETA1","Age and age class","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","1998","1998",99324,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","1999","1999",99371,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","2000","2000",99428,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","2001","2001",99456,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","2002","2002",99491,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","2003","2003",99520,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","2004","2004",99558,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","2005","2005",99581,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","2006","2006",99598,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","2007","2007",99614,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","2008","2008",99625,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","2009","2009",99620,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","2010","2010",99619,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","2011","2011",99625,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","2012","2012",99640,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","2013","2013",99640,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","2014","2014",99643,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","2015","2015",99643,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","2016","2016",99650,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","2017","2017",99655,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","2018","2018",99654,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","2019","2019",99665,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","2020","2020",99684,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","1974","1974",170,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","1975","1975",164,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","1976","1976",158,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","1977","1977",159,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","1978","1978",155,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","1979","1979",155,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","1980","1980",159,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","1981","1981",151,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","1982","1982",143,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","1983","1983",129,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","1984","1984",125,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","1985","1985",122,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","1986","1986",121,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","1987","1987",115,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","1988","1988",111,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","1989","1989",106,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","1990","1990",107,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","1991","1991",107,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","1992","1992",110,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","1993","1993",111,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","1994","1994",107,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","1995","1995",102,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","1996","1996",98,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","1997","1997",96,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","1998","1998",93,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","1999","1999",87,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","2000","2000",83,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","2001","2001",76,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","2002","2002",71,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","2003","2003",66,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","2004","2004",61,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","2005","2005",60,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","2006","2006",57,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","2007","2007",57,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","2008","2008",56,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","2009","2009",58,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","2010","2010",54,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","2011","2011",52,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","2012","2012",48,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","2013","2013",47,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","2014","2014",45,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","2015","2015",44,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","2016","2016",45,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","2017","2017",46,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","2018","2018",48,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","2019","2019",44,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y10-14","10-14 years","2020","2020",41,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","1974","1974",180,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","1975","1975",172,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","1976","1976",165,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","1977","1977",161,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","1978","1978",153,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","1979","1979",143,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","1980","1980",143,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","1981","1981",135,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","1982","1982",134,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","1983","1983",121,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","1984","1984",118,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","1985","1985",113,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","1986","1986",109,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","1987","1987",104,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","1988","1988",96,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","1989","1989",91,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","1990","1990",86,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","1991","1991",88,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","1992","1992",90,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","1993","1993",93,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","1994","1994",91,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","1995","1995",91,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","1996","1996",86,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","1997","1997",82,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","1998","1998",76,,
